,V1,s4_OCSP_test,,,
1,1.262295,10.17518979,,,
2,13.909836,12.14094341,,,
3,10.172131,12.41754565,,,
4,13.86666667,18.95966441,,,
5,25.1,14.16718415,,,
6,10.770492,17.31208421,,,
7,11.557377,16.08440037,,,
8,5.166666667,11.56237927,,,
9,4.278689,10.92800462,,,
10,9.590164,9.15206844,,,
11,36.8,12.24359544,,,
12,5.57377,15.96791528,,,
13,19.8,8.858613649,,,
14,7.196721,10.34807555,,,
15,3.196721,9.282388314,,,
16,3.7,15.35146399,,,
17,7.909836,7.773134499,,,
18,42.03333333,14.27624367,,,
19,8.581967,17.37670583,,,
20,19.5,14.39864189,,,
21,14.76666667,11.97928568,,,
22,1.333333333,12.11440552,,,
23,9.033333333,14.13228924,,,
24,6.131148,13.85119174,,,
25,0.770492,6.260441387,,,
26,4.163934,6.458653213,,,
27,12.5,14.61110823,,,
28,3.377049,9.008009388,,,
29,10.63333333,8.155004782,,,
30,16.66666667,11.03236699,,,
31,5.366666667,10.36088285,,,
32,4.2,15.54050217,,,
33,1.229508,8.920503643,,,
34,12.96666667,16.68222629,,,
35,2.666666667,18.01465267,,,
36,37.53333333,13.5953319,,,
37,4.147541,7.550026796,,,
38,0.233333333,15.92617231,,,
39,4.933333333,7.729687039,,,
40,1.266666667,6.786548063,,,
41,56.8,12.93203582,,,
42,0.466666667,15.85749529,,,
43,4.566666667,18.34494171,,,
44,16.237705,12.33038995,,,
45,7.467213,7.71970616,,,
46,5.933333333,14.01808715,,,
47,0.933333333,7.896784152,,,
48,47.83333333,13.58378693,,,
49,4.166666667,16.71461492,,,
50,15.778689,11.54919867,,,
51,18.2,15.75939813,,,
52,3.778689,13.43928366,,,
53,7.6,7.131815274,,,
54,0.409836,6.1738342,,,
55,0.833333333,8.464210171,,,
56,6.233333333,13.26202307,,,
57,27.3,21.65481114,,,
58,44.032787,15.29902371,,,
59,5.566666667,15.76412113,,,
60,17.04918,12.64249732,,,
61,9.433333333,8.35003632,,,
62,1.639344,10.13372789,,,
63,12.3,12.62120289,,,
64,1.833333333,8.447409629,,,
65,6.8,10.44210382,,,
66,20.147541,13.93955126,,,
67,2.333333333,7.501210042,,,
68,3.633333333,34.41111121,,,
69,2.333333333,7.730420834,,,
70,14.63333333,17.53293587,,,
71,60.13333333,17.55973381,,,
72,5.098361,9.220420801,,,
73,40.254098,17.39268029,,,
74,23,12.07304487,,,
75,6.666666667,16.38285768,,,
76,2.666666667,10.76474474,,,
77,2.433333333,9.037901682,,,
78,29.26666667,20.6509386,,,
79,1.133333333,7.719769193,,,
80,10.581967,12.65510142,,,
81,0.966666667,11.98989517,,,
82,84.3,11.86161064,,,
83,3.4,16.79551265,,,
84,40.9,19.05502921,,,
85,2.366666667,7.810542234,,,
86,3,6.147590205,,,
87,17.13333333,10.12245181,,,
88,4.933333333,13.15555861,,,
89,6.2,12.86627742,,,
90,0.566666667,6.305982487,,,
91,0.8,6.665199847,,,
92,3.566666667,8.181769746,,,
93,13.06666667,23.93637665,,,
94,1.666666667,10.72648402,,,
95,2.3,6.834527329,,,
96,2.533333333,15.56866353,,,
97,11.7,12.66484835,,,
98,15.96666667,9.576752873,,,
99,4.333333333,9.38175264,,,
100,7.766666667,10.95326148,,,
101,1.933333333,9.707111751,,,
102,6.9,10.70440668,,,
103,0.639344,8.276007745,,,
104,52.53333333,11.83191613,,,
105,2.133333333,12.21708461,,,
106,14.93333333,15.26952902,,,
107,1.5,7.731830216,,,
108,29.04918,15.80705382,,,
109,34.26666667,17.27592007,,,
110,14.9,11.57476943,,,
111,1.033333333,6.004912809,,,
112,10.303279,10.25040173,,,
113,3.566666667,13.01337508,,,
114,2.433333333,8.731912404,,,
115,4.666666667,17.75299444,,,
116,21.13333333,17.38902172,,,
117,2.4,11.20126479,,,
118,9.666666667,11.85524302,,,
119,2,10.80003242,,,
120,2.166666667,12.79700438,,,
121,2.433333333,7.616597189,,,
122,12.06666667,15.73426761,,,
123,2.666666667,9.782631175,,,
124,0.491803,12.43068093,,,
125,4.666666667,8.890462315,,,
126,4.933333333,14.44504439,,,
127,7.533333333,13.00113667,,,
128,3.733333333,10.05926847,,,
129,4.033333333,13.82719159,,,
130,9.066666667,17.11648469,,,
131,3,16.04469196,,,
132,3.1,8.862536656,,,
133,3.333333333,13.70718674,,,
134,17.03333333,12.54027008,,,
135,4.9,12.63349957,,,
136,43.46666667,15.06791888,,,
137,10.836066,15.2379713,,,
138,22.06666667,14.53981688,,,
139,2.166666667,10.00586734,,,
140,5.52459,17.25827619,,,
141,21.2,13.14606089,,,
142,38,8.419637258,,,
143,8.166666667,11.20007801,,,
144,6.3,11.71805249,,,
145,18.040984,16.49421887,,,
146,11.36666667,15.87038108,,,
147,10.3,10.45997115,,,
148,5.9,11.28168538,,,
149,5.233333333,14.76024157,,,
150,41.9,18.58772292,,,
151,39.93333333,17.38429983,,,
152,31,11.85708523,,,
153,16,16.16810266,,,
154,45.4,18.70863474,,,
155,15.7,1.606794123,,,
156,40.53333333,14.77532849,,,
157,13.23333333,13.43403806,,,
158,14.204918,16.21150813,,,
159,52.3,13.06988936,,,
160,3.666666667,15.11696398,,,
161,10.721311,12.55739935,,,
162,7.966666667,13.30099046,,,
163,33.36666667,11.9223992,,,
164,3.766666667,7.409769996,,,
165,13.16666667,15.26868677,,,
166,9.54918,9.813058413,,,
167,13.63333333,16.51991139,,,
168,2.967213,9.617294503,,,
169,2.508197,14.33245118,,,
170,7.166666667,14.74598977,,,
171,2.966666667,8.419571759,,,
172,2.245902,8.807458684,,,
173,7.098361,15.2960536,,,
174,0.590164,6.346948888,,,
175,0.52459,7.974464795,,,
176,6.6,14.30688696,,,
177,0.327869,5.726686281,,,
,,,,,
,Sample concordance correlation coefficient (_c),,,,0.1663
,Lower one-sided 95% CL for _c,,,,0.1038
,Lower two-sided 95% CL for _c,,,,0.0917
,Upper one-sided 95% CL for _cæ,,,,0.2275
,Upper two-sided 95% CL for _c,,,,0.239
