,V1,s12_OCSP_test,,,
1,14.73333333,-3.705907697,,,
2,33.1,141.6201356,,,
3,7.333333333,50.93305689,,,
4,24.1,2.660597812,,,
5,5.866666667,-13.46174422,,,
6,16.8,45.44950607,,,
7,7.233333333,66.45386938,,,
8,22.36666667,39.89886691,,,
9,1.866666667,98.17642738,,,
10,6.733333333,41.61359964,,,
11,23.63333333,62.33457292,,,
12,8.866666667,118.6151748,,,
13,3,50.57790653,,,
14,22.96666667,68.00626982,,,
15,12.4,-7.772551361,,,
16,44.86666667,38.12965069,,,
17,3.033333333,-0.633355273,,,
18,44.96666667,86.5332111,,,
19,36.23333333,-8.26251569,,,
20,29.1,64.04277147,,,
21,31.56666667,27.47286415,,,
22,25.46666667,4.523442958,,,
23,36.23333333,23.45831402,,,
24,50.1,-18.96370619,,,
25,0.233333333,-5.659421211,,,
26,45.36666667,93.35387539,,,
27,21.46666667,89.41590925,,,
28,26.93333333,103.9491325,,,
29,35.56666667,31.00743867,,,
30,40.66666667,125.8134633,,,
31,8.366666667,101.4410864,,,
32,43.93333333,14.91878557,,,
33,24.43333333,54.8858991,,,
34,2.133333333,114.8596087,,,
35,39.66666667,60.71437133,,,
36,17.56666667,-7.053049917,,,
,,,,,
,Sample concordance correlation coefficient (_c),,,,0.0076
,Lower one-sided 95% CL for _c,,,,-0.12
,Lower two-sided 95% CL for _c,,,,-0.145
,Upper one-sided 95% CL for _cæ,,,,0.1359
,Upper two-sided 95% CL for _c,,,,0.1601
