,V1,s3_OCSP_test,,,
1,50.56666667,45.49823126,,,
2,51.6,44.7877692,,,
3,51.9,44.37779112,,,
4,52.33333333,45.74152262,,,
5,52.33333333,41.4733837,,,
6,52.5,42.45875348,,,
7,53.327869,40.3691236,,,
8,53.43333333,42.71431452,,,
9,53.7,39.68733234,,,
10,53.7,41.55451408,,,
11,53.93333333,42.9073936,,,
12,54.83333333,45.22501874,,,
13,54.9,42.95667593,,,
14,55.03333333,38.1319158,,,
15,56.03333333,40.0144879,,,
16,58.3,42.76109146,,,
17,58.4,42.95036755,,,
18,59.03333333,45.61944324,,,
19,59.63333333,39.72807738,,,
20,59.76666667,41.1151494,,,
21,60.43333333,44.58093801,,,
22,60.46666667,44.63554153,,,
23,60.76666667,46.81248447,,,
24,61.63333333,43.68347258,,,
25,61.66666667,42.15718236,,,
26,61.7,41.17502245,,,
27,62.26666667,40.62995355,,,
28,63.3,38.54130312,,,
29,64.76666667,39.81804197,,,
30,65.63333333,44.62721384,,,
31,65.73333333,42.77468737,,,
32,66.5,42.9683114,,,
33,66.56666667,40.81508605,,,
34,67.93333333,44.69290497,,,
35,68.53333333,44.07055952,,,
36,70.73333333,45.32448813,,,
37,71.2,42.28387413,,,
38,72.86666667,42.55735677,,,
39,73.06666667,43.35210735,,,
40,73.8,39.73509586,,,
41,73.93333333,41.21849135,,,
42,74.03333333,44.37961265,,,
43,75.8,41.81603725,,,
44,80.7,43.87562802,,,
45,82.46666667,42.17192941,,,
46,83,42.7566373,,,
47,19,45.31130235,,,
,,,,,
,Sample concordance correlation coefficient (_c),,,,-0.011
,Lower one-sided 95% CL for _c,,,,-0.033
,Lower two-sided 95% CL for _c,,,,-0.038
,Upper one-sided 95% CL for _cæ,,,,0.0112
,Upper two-sided 95% CL for _c,,,,0.0155
,,,,,
,,,,,
